R vR err_vR vT err_vT V-B V Mass
0.0328 -5.8406 1.5294 -8.9135 1.5304 1.1209 8.7632 0.4666
0.0367 -3.1565 1.0714 -0.5628 1.0749 0.5453 5.3622 0.7404
0.0450 -0.0514 1.0871 -8.4204 1.0841 0.6192 5.8739 0.6986
0.0432 -11.1577 1.5194 15.5936 1.5200 1.1167 8.7402 0.4686
0.0386 -1.0850 1.2869 10.0504 1.2821 0.9680 7.9027 0.5363
0.0539 -6.2576 1.3306 -5.4562 1.3299 1.0022 8.1051 0.5204
0.0552 1.1970 1.1417 -2.6253 1.1403 0.7661 6.6950 0.6311
0.0602 -6.4173 1.1478 2.2450 1.1478 0.7804 6.7734 0.6248
0.0452 -10.7043 3.0329 2.7162 3.0613 1.3901 10.7766 0.2401
0.0532 7.0950 1.3644 0.0870 1.3654 1.0292 8.2497 0.5091
0.0619 -9.1822 1.0865 13.5677 1.0833 0.6172 5.8615 0.6996
0.0633 1.7600 1.0780 -10.7339 1.0777 0.5777 5.6084 0.7205
0.0556 -9.7879 1.7748 1.0989 1.7814 1.2155 9.3023 0.4178
0.0699 -4.8112 1.0801 -5.5043 1.0782 0.5891 5.6839 0.7144
0.0645 5.4319 1.0766 -10.5878 1.0774 0.5708 5.5582 0.7247
0.0727 -4.0001 2.2512 -10.2909 2.2534 1.3130 9.9398 0.3487
0.0738 5.0775 1.1473 -3.8135 1.1473 0.7793 6.7678 0.6252
0.0368 4.7974 1.0690 5.8551 1.0711 0.5318 5.2498 0.7491
0.0505 -12.0894 3.2280 22.7871 3.2147 1.4232 11.1434 0.2045
0.0383 -9.9760 1.0834 8.9255 1.0792 0.6072 5.7998 0.7047
0.0745 -7.4575 1.1018 -7.1183 1.1035 0.6695 6.1661 0.6744
0.0511 19.8236 1.4233 1.5249 1.4229 1.0683 8.4651 0.4918
0.0801 0.6338 1.1389 11.3694 1.1368 0.7595 6.6590 0.6340
0.0808 13.1224 2.3558 -2.1675 2.3593 1.3276 10.0585 0.3337
0.0720 22.2527 3.1817 5.1956 3.1987 1.4026 10.9244 0.2245
0.0816 -2.8105 1.1309 4.1086 1.1282 0.7406 6.5558 0.6422
0.0415 -2.2548 2.2835 0.5236 2.2861 1.3177 9.9764 0.3441
0.0844 -13.1081 2.8850 -7.9421 2.9248 1.3786 10.6297 0.2575
0.0840 -2.0997 1.0724 9.7228 1.0764 0.5511 5.4083 0.7368
0.0695 2.6541 1.1072 -3.6297 1.1085 0.6833 6.2447 0.6680
0.0759 20.2757 1.6873 13.1933 1.6926 1.1838 9.1157 0.4356
0.0468 -9.7875 1.8987 -4.2257 1.9038 1.2468 9.4969 0.3980
0.0837 7.8185 1.1652 2.7890 1.1693 0.8208 6.9972 0.6066
0.0880 2.0839 1.1763 -6.7194 1.1790 0.8420 7.1295 0.5964
0.0730 -6.3992 1.0655 -0.4855 1.0654 0.5134 5.0862 0.7612
0.0389 -4.5252 1.0936 1.9125 1.0927 0.6412 6.0032 0.6879
0.0971 2.8882 1.0586 3.4481 1.0412 0.4674 4.5542 0.7948
0.0731 -13.4109 1.9200 -6.9305 1.9247 1.2511 9.5255 0.3950
0.0949 -12.8773 1.9576 -2.9380 1.9615 1.2592 9.5758 0.3897
0.0734 -8.9481 1.1520 4.6511 1.1530 0.7902 6.8275 0.6204
0.0919 -6.2849 2.1457 6.2805 2.1466 1.2967 9.8201 0.3630
0.0530 -7.1848 2.5095 -0.5438 2.5192 1.3458 10.2309 0.3107
0.0753 -6.7321 1.0828 -5.1317 1.0788 0.6047 5.7835 0.7061
0.0804 9.8518 1.0593 -1.6138 1.0439 0.4754 4.6537 0.7893
0.1027 4.7517 1.7921 -3.5463 1.7989 1.2216 9.3391 0.4142
0.0904 5.3695 1.1322 17.2970 1.1293 0.7436 6.5725 0.6409
0.0913 0.6689 1.1492 10.3264 1.1496 0.7838 6.7922 0.6233
0.1042 -2.2992 1.1363 -4.7443 1.1336 0.7533 6.6253 0.6367
0.0816 -7.0512 1.8980 10.4535 1.9031 1.2466 9.4960 0.3981
0.0869 -10.1833 1.2042 -4.1804 1.2034 0.8892 7.4270 0.5730
0.0883 8.5195 1.1495 -21.0945 1.1500 0.7845 6.7958 0.6230
0.1039 1.1027 2.4217 -0.6112 2.4260 1.3359 10.1333 0.3238
0.0605 1.1947 1.9324 -7.7135 1.9368 1.2537 9.5421 0.3932
0.0558 -1.0456 3.1094 -4.6101 3.1319 1.3964 10.8525 0.2318
0.0927 -3.9217 1.0624 3.5191 1.0566 0.4953 4.8925 0.7746
0.0943 -13.6992 1.0574 -10.9984 1.0371 0.4412 4.1697 0.8123
0.1105 12.2023 1.0785 6.3611 1.0778 0.5803 5.6262 0.7191
0.1034 12.5181 2.2309 -19.1686 2.2329 1.3100 9.9168 0.3515
0.0172 20.9633 1.1390 -4.2227 1.1370 0.7598 6.6609 0.6338
0.0470 15.5119 1.8021 -16.8244 1.8091 1.2251 9.3605 0.4121
0.1084 -4.4965 1.4053 -10.5590 1.4053 1.0566 8.3991 0.4972
0.1014 -3.3280 1.1479 5.1809 1.1481 0.7808 6.7758 0.6246
0.1121 -22.4682 1.4353 -2.2640 1.4346 1.0761 8.5089 0.4882
0.0822 -0.2790 3.2267 21.1100 3.2144 1.4226 11.1368 0.2051
0.0888 -18.9408 2.5929 -8.9270 2.6132 1.3541 10.3212 0.2983
0.1110 -2.2379 1.3348 -4.7808 1.3345 1.0059 8.1247 0.5188
0.1082 10.7035 1.0865 -13.8295 1.0833 0.6171 5.8612 0.6996
0.0612 4.6059 1.0685 -13.8522 1.0702 0.5288 5.2242 0.7511
0.0970 -0.0475 1.1958 -0.0711 1.1959 0.8786 7.3600 0.5783
0.1227 -7.5102 2.8009 18.3137 2.8472 1.3722 10.5462 0.2681
0.1192 5.3513 1.9620 -10.6261 1.9658 1.2601 9.5817 0.3891
0.1239 -3.2356 1.5819 3.1973 1.5847 1.1427 8.8835 0.4563
0.1172 1.9078 1.0628 12.7989 1.0583 0.4982 4.9252 0.7725
0.1219 -0.9477 1.1080 -6.6080 1.1092 0.6851 6.2551 0.6671
0.1098 2.5955 1.1192 -2.1960 1.1185 0.7113 6.4022 0.6549
0.0567 7.3121 2.0228 -11.3537 2.0252 1.2731 9.6631 0.3805
0.1064 3.0977 1.7214 16.4862 1.7272 1.1963 9.1884 0.4288
0.0946 1.5219 2.8331 7.3741 2.8769 1.3747 10.5782 0.2640
0.1263 -1.0841 1.0762 -10.0464 1.0773 0.5688 5.5434 0.7259
0.0945 -3.1178 1.0610 -10.1038 1.0507 0.4858 4.7811 0.7817
0.1246 10.1654 1.0693 6.1106 1.0714 0.5331 5.2609 0.7483
0.1027 -15.0144 2.0811 -0.0225 2.0822 1.2851 9.7412 0.3720
0.1310 -9.0631 1.0744 8.1066 1.0769 0.5601 5.4787 0.7311
0.1206 7.9385 1.0592 -0.3959 1.0366 0.4363 4.0112 0.8182
0.1070 11.4734 1.0812 8.8311 1.0784 0.5952 5.7229 0.7111
0.1343 7.4499 2.8489 0.4983 2.8915 1.3758 10.5938 0.2620
0.1324 1.4850 1.6779 7.0952 1.6831 1.1804 9.0957 0.4374
0.1197 -5.8678 1.1705 -18.4879 1.1739 0.8309 7.0603 0.6017
0.1124 -14.6374 1.4121 -9.1408 1.4120 1.0611 8.4243 0.4951
0.0527 11.4272 1.0755 7.4858 1.0771 0.5656 5.5195 0.7278
0.1231 -12.2306 1.3851 -3.8015 1.3856 1.0432 8.3255 0.5031
0.1367 2.2341 1.1377 1.4176 1.1354 0.7567 6.6438 0.6352
0.1342 10.2351 1.4051 -14.2264 1.4051 1.0565 8.3984 0.4972
0.1311 -6.9893 1.7174 -12.9987 1.7231 1.1949 9.1799 0.4296
0.0427 15.8935 3.2015 -9.1134 3.2075 1.4099 11.0052 0.2167
0.1348 -8.3227 1.0922 19.3077 1.0909 0.6365 5.9758 0.6902
0.1081 3.9715 1.1587 -10.5333 1.1614 0.8060 6.9144 0.6133
0.0911 -6.5978 1.0666 -0.4044 1.0672 0.5189 5.1369 0.7576
